profileId,profileName,iterationsObserved,totalRuns,wins,defeats,timeouts,winRate,lossRate,timeoutRate,medianClearTimeSeconds,averageClearTimeSeconds,fastestClearTimeSeconds,slowestClearTimeSeconds,clearTimeSpreadSeconds,averageUnitLosses,averageFinalArmySize,averageResourceSurplus,averageFinalAether,objectiveCompletionRate,pressureWarningCount,averagePressureReactionWindowSeconds,stabilityVerdict
baseline_cautious,Baseline Cautious,5,35,35,0,0,1,0,0,373,373,347,403,56,1.2857142857142858,11.285714285714286,2264.5714285714284,297,1,25,102,consistent stable
no_retinue,No-Retinue,5,250,250,0,0,1,0,0,373,372.38,347,403,56,1.28,11.26,2293.76,298.08,1,180,93.66666666666667,consistent stable
one_veteran,One-Veteran,5,30,30,0,0,1,0,0,378,379,367,399,32,0.5,11.666666666666666,2427,313,1,45,102,consistent stable
mixed_veterans,Mixed-Veterans,5,30,30,0,0,1,0,0,221.5,226.66666666666666,78,385,307,0,12.166666666666666,1546,219,1,25,102,consistent stable
retinue_training_yard_ii,Retinue + Training Yard II,5,105,85,15,5,0.8095238095238095,0.14285714285714285,0.047619047619047616,334,341.9047619047619,71,900,829,1.7619047619047619,10.285714285714286,3371.1428571428573,452.95238095238096,0.8095238095238095,45,163.75,mixed route
greedy_economy,Greedy Economy,5,425,155,55,215,0.36470588235294116,0.12941176470588237,0.5058823529411764,900,672.0235294117647,279,1050,771,4.670588235294118,6.635294117647059,9793.75294117647,1797.5411764705882,0.36470588235294116,355,225.12,unstable route
fast_army,Fast Army,5,425,265,120,40,0.6235294117647059,0.2823529411764706,0.09411764705882353,122,307.74117647058824,71,1050,979,3.011764705882353,7.823529411764706,2174.6823529411763,98,0.6235294117647059,105,85,mixed route
pressure_ignoring,Pressure-Ignoring,5,20,20,0,0,1,0,0,92,92.5,76,110,34,0.5,12.5,680,112.5,1,15,,consistent stable
objective_rush,Objective-Rush,5,30,25,0,5,0.8333333333333334,0,0.16666666666666666,93,250.5,76,1050,974,1.8333333333333333,11.5,2094.6666666666665,121.66666666666667,0.8333333333333334,15,,mixed route
safe_beginner,Safe Beginner,5,425,425,0,0,1,0,0,371,366.0705882352941,334,403,69,1,11.341176470588236,2274.9529411764706,289.21176470588233,1,285,97.08,consistent stable
